Gen,Time,ProgSizeMean,ProgSizeStd,FitMean,FitStd
0,3.65133,20.720703125,19.755596633159712,606.6149115827095,73.44364521551277
1,2.925854,21.828125,19.850707456165484,557.8231435153058,87.09485014493464
2,2.617944,24.462890625,20.68515057698922,510.2227405999662,98.68729873801797
3,2.846941,29.001953125,21.69251025283057,502.2740620691802,108.97407031143074
4,3.342695,36.4296875,22.570210591803477,468.20511795581086,113.39602657387742
5,3.066167,41.123046875,20.03429357271482,446.0891385850758,103.12962764311645
6,3.167242,41.998046875,20.59923401317084,442.348643365877,107.51355526203474
7,3.117093,41.611328125,18.86841062322105,455.63995238074716,104.35301463372615
8,2.871653,35.6796875,16.507557364632344,449.56098642632185,103.09197409558462
9,3.013635,38.34375,16.932243790041408,444.1997035551424,105.69407578836538
10,2.933766,37.3203125,16.857488379567496,445.4555602515647,98.35535148919874
11,3.211276,44.791015625,19.496478799401526,437.5448613318494,95.50493350598354
12,3.346413,49.23046875,19.71650517013968,432.14517179688653,87.41545809855033
13,3.751792,59.259765625,17.680307051152152,427.1939700074977,85.40913571343317
14,3.67246,59.583984375,16.42539272712299,415.78882126310253,78.14322463585337
15,3.488547,53.521484375,16.490689554359157,419.7235478120935,86.76386936933751
16,3.30899,48.31640625,19.1641946905637,415.2388687335866,83.66511953759606
17,3.512108,53.31640625,19.962072649216324,414.8522976346235,95.60638277448344
18,3.778534,58.78125,17.422780337314332,403.08066122302614,80.0226071351746
19,3.886964,63.5078125,14.237475417225818,395.96190905682363,70.1619884511018
20,3.835917,61.6640625,15.590446152738757,390.3996384552288,86.44779487629049
21,3.780034,61.078125,16.07052364440184,394.98215060247776,70.40294782657288
22,3.635342,57.7890625,17.0662110507442,385.46577153602294,77.9869345822171
23,3.560554,54.0859375,16.50167909641251,397.60438213468603,76.41721916119766
24,3.475916,51.478515625,16.513554589624437,395.0126231801083,79.91745498299572
25,3.442149,50.72265625,16.9029555559058,397.824048240076,75.64950195800813
26,3.433612,50.900390625,17.060235984627322,409.2190984234398,80.91562041253628
27,3.460855,50.12890625,17.060154178131647,421.3617981976266,79.51884853225069
28,3.517959,50.529296875,18.145742146806963,416.55276396351684,95.54426685396854
29,3.478413,50.67578125,16.62854955161802,399.168112627125,89.29080704406485
30,3.518873,53.423828125,16.612543359336517,390.4226940319286,89.67012696226372
31,3.515415,53.39453125,15.502045063428973,390.94934895078256,86.87188081468453
32,3.526625,51.87890625,13.924843104988067,397.5134236342698,85.57421691831355
33,3.45344,50.1953125,12.878290988631946,384.5431904720186,78.4891158842755
34,3.407968,48.3984375,14.053849707228013,382.2493711296369,86.66251296146588
35,3.718483,49.326171875,12.86424563780044,390.03657179732744,80.22744500819228
36,3.806339,48.904296875,13.323063778262053,387.1047612565624,78.24340499457122
37,3.814996,49.31640625,14.258933656742025,383.8246275836079,84.97893076656662
38,4.150485,50.923828125,14.636356485706619,395.34301949984956,86.14220956584705
